num,CVE_ESTADO,DES_ESTADO,CVE_DIAGNO,DES_DIAGNO,CVE_CIE10,ACUMULADO,MENORES_1,DE01_A_04,DE05_A_09,DE10_A_14,DE15_A_19,DE20_A_24,DE25_A_44,DE45_A_49,DE50_A_59,DE60_A_64,DE65_Y_MAS,SE_IGNORAN,SSA,IMSS_ORD,ISSSTE,OTRAS,IMSS_SOL,D_IF,PEMEX,SEDENA,SEDEMAR,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,PERIODO,MENORES_1F,DE01_A_04F,DE05_A_09F,DE10_A_14F,DE15_A_19F,DE20_A_24F,DE25_A_44F,DE45_A_49F,DE50_A_59F,DE60_A_64F,DE65_Y_MAF,SE_IGNORAF,TOTALM,TOTALF,SSAM,IMSS_ORDM,ISSSTEM,OTRASM,IMSS_SOLM,D_IFM,PEMEXM,SEDENAM,SEDEMARM,SSAF,IMSS_ORDF,ISSSTEF,OTRASF,IMSS_SOLF,D_IFF,PEMEXF,SEDENAF,SEDEMARF,ENEROM,FEBREROM,MARZOM,ABRILM,MAYOM,JUNIOM,JULIOM,AGOSTOM,SEPTIEMBRM,OCTUBREM,NOVIEMBREM,DICIEMBREM,ENEROF,FEBREROF,MARZOF,ABRILF,MAYOF,JUNIOF,JULIOF,AGOSTOF,SEPTIEMBRF,OCTUBREF,NOVIEMBREF,DICIEMBREF
18,1,Aguascalientes,107,"Edema, proteinuria y transtornos hipertensivos del embarazo=",010-016 excepto 012,1175,0,0,0,0,0,0,0,0,0,0,0,0,535,629,0,11,0,0,0,0,0,121,101,138,75,98,89,86,105,86,108,125,43,2015,0,0,0,3,133,327,691,19,2,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,535,629,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,101,138,75,98,89,86,105,86,108,125,43
19,1,Aguascalientes,109,"Úlceras, gastritis y duodenitis",K25-K29,32251,1,14,68,869,791,1436,4872,1769,1538,602,927,0,8023,10291,1727,12121,0,30,0,59,0,2608,2578,2946,2392,2807,3736,2359,3335,2397,2542,2969,1582,2015,2,33,120,1330,1661,2470,7419,2184,2100,721,1324,0,12887,19364,2520,3873,622,5832,0,12,0,28,0,5503,6418,1105,6289,0,18,0,31,0,1043,1037,1227,909,1107,1466,922,1321,893,1025,1276,661,1565,1541,1719,1483,1700,2270,1437,2014,1504,1517,1693,921
20,1,Aguascalientes,110,Infección de vías urinarias,"N30, N34, N39.0",73408,301,1337,1379,1016,809,1417,4965,1380,1910,1009,2267,0,18565,37969,3070,13722,0,31,0,51,0,5249,5444,6648,5511,6053,7649,5740,8144,5932,6001,6919,4118,2015,352,2458,3135,2258,4496,6672,20137,4351,5780,2103,3876,0,17790,55618,3505,9653,818,3789,0,6,0,19,0,15060,28316,2252,9933,0,25,0,32,0,1215,1339,1582,1354,1505,1860,1362,2037,1456,1437,1654,989,4034,4105,5066,4157,4548,5789,4378,6107,4476,4564,5265,3129
21,1,Aguascalientes,111,Enfermedad alcohólica del hígado,K70 excepto K70.3,66,0,0,0,0,1,2,15,4,12,8,11,0,38,16,2,10,0,0,0,0,0,5,8,5,7,1,7,4,7,4,8,9,1,2015,0,0,0,1,0,2,0,2,7,0,1,0,53,13,29,14,2,8,0,0,0,0,0,9,2,0,2,0,0,0,0,0,4,7,5,4,0,6,3,7,4,5,7,1,1,1,0,3,1,1,1,0,0,3,2,0
22,1,Aguascalientes,112,Intoxicación aguda por alcohol,F10.0,807,0,0,0,2,42,69,379,69,90,24,23,0,592,87,15,113,0,0,0,0,0,53,30,59,87,59,114,70,81,41,55,102,56,2015,0,0,0,3,17,25,44,10,6,3,1,0,698,109,514,72,11,101,0,0,0,0,0,78,15,4,12,0,0,0,0,0,44,23,51,77,46,95,64,74,38,45,93,48,9,7,8,10,13,19,6,7,3,10,9,8
23,1,Aguascalientes,114,Desnutrición leve,E44.1,1248,62,127,201,62,36,20,23,2,4,5,10,0,510,607,19,111,0,1,0,0,0,70,64,112,94,129,125,76,238,104,73,116,47,2015,93,188,137,104,56,31,42,11,13,2,19,0,552,696,204,296,9,42,0,1,0,0,0,306,311,10,69,0,0,0,0,0,28,24,49,35,48,41,28,163,40,31,46,19,42,40,63,59,81,84,48,75,64,42,70,28
24,1,Aguascalientes,115,Desnutrición moderada,E44.0,167,13,22,7,5,9,4,3,2,0,1,4,0,121,9,0,37,0,0,0,0,0,15,10,12,14,10,19,9,22,15,17,12,12,2015,21,30,2,4,8,8,6,4,5,4,5,0,70,97,57,2,0,11,0,0,0,0,0,64,7,0,26,0,0,0,0,0,7,3,8,6,7,8,3,10,6,3,5,4,8,7,4,8,3,11,6,12,9,14,7,8
25,1,Aguascalientes,116,Desnutrición severa,E40-E43,60,10,5,2,0,1,1,0,2,1,0,6,0,34,8,1,17,0,0,0,0,0,6,1,6,5,5,5,6,4,3,8,9,2,2015,6,4,2,2,5,1,3,3,2,1,3,0,28,32,15,3,1,9,0,0,0,0,0,19,5,0,8,0,0,0,0,0,2,0,2,5,1,2,3,2,3,4,4,0,4,1,4,0,4,3,3,2,0,4,5,2
26,1,Aguascalientes,117,Displasia cervical leve y moderada@,N87.0-N87.1,845,0,0,0,0,0,0,0,0,0,0,0,0,837,2,0,6,0,0,0,0,0,26,70,114,58,151,41,79,81,33,76,82,34,2015,0,0,0,0,15,80,574,89,74,12,1,0,0,845,0,0,0,0,0,0,0,0,0,837,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,70,114,58,151,41,79,81,33,76,82,34
27,1,Aguascalientes,118,Displasia cervical severa y CaCu in situ@,"D06, N87.2",193,0,0,0,0,0,0,0,0,0,0,0,0,176,16,0,1,0,0,0,0,0,16,15,29,15,14,4,15,10,4,25,34,12,2015,0,0,0,0,0,2,102,43,33,9,4,0,0,193,0,0,0,0,0,0,0,0,0,176,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,29,15,14,4,15,10,4,25,34,12
28,1,Aguascalientes,119,Tumor maligno de mama#,C50,400,0,0,0,0,0,0,1,0,0,0,0,0,272,85,37,6,0,0,0,0,0,22,19,33,38,54,52,39,37,11,34,46,15,2015,0,0,0,0,0,6,80,121,102,44,46,0,1,399,0,0,1,0,0,0,0,0,0,272,85,36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,19,33,38,54,52,39,37,11,33,46,15
29,1,Aguascalientes,12,Teniasis,B68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,Aguascalientes,122,Violencia intrafamiliar,Y07.0-Y07.2,380,0,3,1,2,3,10,21,5,7,2,2,0,298,2,0,80,0,0,0,0,0,1,2,32,57,72,49,34,38,41,39,13,2,2015,0,2,0,8,41,46,164,23,32,1,7,0,56,324,37,1,0,18,0,0,0,0,0,261,1,0,62,0,0,0,0,0,0,0,4,8,7,10,9,5,2,6,5,0,1,2,28,49,65,39,25,33,39,33,8,2
31,1,Aguascalientes,123,Peatón lesionado en accidente de transporte,V01-V09,490,2,28,30,51,47,39,77,5,22,5,10,0,469,0,0,21,0,0,0,0,0,43,64,60,29,32,45,42,49,41,28,31,26,2015,1,29,24,22,12,23,40,9,6,3,5,0,316,174,302,0,0,14,0,0,0,0,0,167,0,0,7,0,0,0,0,0,31,35,35,20,22,35,26,32,27,12,24,17,12,29,25,9,10,10,16,17,14,16,7,9
32,1,Aguascalientes,124,Accidentes de transporte en vehículos con motor,"V20-V29, V40-V79",3169,6,36,48,70,194,247,621,112,120,29,51,0,640,48,0,2481,0,0,0,0,0,185,136,297,213,231,342,206,432,248,223,439,217,2015,11,33,60,75,163,237,711,110,145,38,52,0,1534,1635,414,20,0,1100,0,0,0,0,0,226,28,0,1381,0,0,0,0,0,92,70,151,100,111,189,102,194,117,92,201,115,93,66,146,113,120,153,104,238,131,131,238,102
33,1,Aguascalientes,125,Quemaduras,T20-T32,2397,32,150,86,63,77,194,424,61,71,20,37,0,473,1689,55,180,0,0,0,0,0,171,139,205,193,209,193,183,273,182,186,285,178,2015,16,129,63,54,64,152,414,87,92,36,75,0,1215,1182,224,879,17,95,0,0,0,0,0,249,810,38,85,0,0,0,0,0,98,71,106,99,97,95,91,150,91,85,137,95,73,68,99,94,112,98,92,123,91,101,148,83
34,1,Aguascalientes,126,Mordeduras por perro,W54,1326,6,83,142,124,77,57,174,29,34,19,24,0,585,554,26,161,0,0,0,0,0,86,57,128,94,152,131,92,150,165,96,106,69,2015,0,70,72,61,65,38,148,30,25,22,26,0,769,557,363,317,14,75,0,0,0,0,0,222,237,12,86,0,0,0,0,0,50,43,79,52,87,69,49,102,92,52,57,37,36,14,49,42,65,62,43,48,73,44,49,32
35,1,Aguascalientes,127,Diabetes mellitus insulinodependiente (Tipo I)~,E10,111,0,1,2,2,12,17,0,0,0,0,0,0,21,2,2,85,0,0,0,1,0,9,6,21,16,5,12,2,18,2,8,4,8,2015,0,0,2,9,19,47,0,0,0,0,0,0,34,77,9,1,0,24,0,0,0,0,0,12,1,2,61,0,0,0,1,0,5,1,5,5,1,4,1,5,1,3,2,1,4,5,16,11,4,8,1,13,1,5,2,7
36,1,Aguascalientes,128,Gingivitis y enfermedades periodontales,K05,21154,10,137,400,606,608,906,2572,963,1073,457,644,0,4409,10258,888,5134,0,390,0,75,0,1631,1797,2033,1713,1778,1895,1754,2283,1611,1732,1871,1056,2015,17,152,383,721,1279,1928,4507,1104,1412,511,764,0,8376,12778,1527,3696,363,2565,0,184,0,41,0,2882,6562,525,2569,0,206,0,34,0,643,687,835,694,675,747,694,882,667,702,743,407,988,1110,1198,1019,1103,1148,1060,1401,944,1030,1128,649
37,1,Aguascalientes,129,Encefalocele,Q01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,1,Aguascalientes,130,Espina bífida,Q05,8,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,1,1,2015,3,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0
39,1,Aguascalientes,131,Labio y paladar hendido,Q35-Q37,8,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,1,0,1,0,0,2015,1,0,0,0,0,0,0,0,0,0,0,0,7,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,1,Aguascalientes,132,Mordeduras por otros mamíferos,W55,130,1,11,12,10,5,5,10,4,3,2,3,0,99,19,8,4,0,0,0,0,0,9,8,11,10,13,15,8,12,11,11,10,12,2015,2,6,4,8,3,6,18,6,4,4,3,0,66,64,50,7,6,3,0,0,0,0,0,49,12,2,1,0,0,0,0,0,3,5,5,7,4,8,5,7,7,3,5,7,6,3,6,3,9,7,3,5,4,8,5,5
41,1,Aguascalientes,133,Mordedura por serpiente,X20,21,0,0,1,1,3,0,7,2,0,2,1,0,19,2,0,0,0,0,0,0,0,1,0,1,3,3,2,5,2,1,3,0,0,2015,0,0,0,0,0,0,4,0,0,0,0,0,17,4,17,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,2,3,1,3,2,1,3,0,0,0,0,0,1,0,1,2,0,0,0,0,0
42,1,Aguascalientes,135,Obesidad,E66,5514,18,49,109,149,99,141,596,250,236,102,144,0,1592,1027,703,2153,0,39,0,0,0,281,245,404,346,417,582,303,411,659,649,765,452,2015,8,50,131,148,182,338,1397,517,514,139,197,0,1893,3621,474,371,273,769,0,6,0,0,0,1118,656,430,1384,0,33,0,0,0,110,86,135,106,128,183,102,134,229,254,266,160,171,159,269,240,289,399,201,277,430,395,499,292
43,1,Aguascalientes,136,Diabetes mellitus que se origina con el embarazo=,O24.4,174,0,0,0,0,0,0,0,0,0,0,0,0,118,53,1,2,0,0,0,0,0,11,13,33,24,16,6,13,14,8,10,19,7,2015,0,0,0,0,11,31,132,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,118,53,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,33,24,16,6,13,14,8,10,19,7
44,1,Aguascalientes,137,Enteritis debida a rotavirus,A08.0,6,1,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2015,1,1,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
45,1,Aguascalientes,14,Otras helmintiasis,"B65-B67, B70-B76, B78, B79, B81-B83",1680,11,195,183,91,47,38,106,24,21,11,14,0,271,1394,4,11,0,0,0,0,0,159,120,147,142,163,177,152,184,141,104,123,68,2015,14,184,202,115,39,65,178,40,60,15,27,0,741,939,114,618,3,6,0,0,0,0,0,157,776,1,5,0,0,0,0,0,62,47,67,56,75,88,68,88,59,44,61,26,97,73,80,86,88,89,84,96,82,60,62,42
46,1,Aguascalientes,144,Leishmaniasis visceral,B55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,Aguascalientes,145,Leishmaniasis cutánea,B55.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,Aguascalientes,146,Enfermedad por virus Chikungunya,A92.0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2015,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,1,Aguascalientes,147,Síndrome febril,R50,6,1,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2015,1,0,1,0,0,0,0,1,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
50,1,Aguascalientes,148,Efectos del calor y de la luz,T67,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,Aguascalientes,149,Adicciones,F10-F19 excepto F10.0,367,0,0,0,5,43,48,140,24,21,9,8,2,225,90,0,52,0,0,0,0,0,21,22,15,36,21,18,14,24,46,41,61,48,2015,0,0,0,4,12,12,32,5,1,0,1,0,300,67,182,74,0,44,0,0,0,0,0,43,16,0,8,0,0,0,0,0,17,19,12,30,19,15,11,18,36,33,50,40,4,3,3,6,2,3,3,6,10,8,11,8
52,1,Aguascalientes,15,Faringitis y amigdalitis estreptocócicas,"J02.0, J03.0",374,4,22,29,21,12,12,59,13,16,1,2,0,0,0,0,255,0,27,0,92,0,0,0,0,0,0,0,0,0,0,37,163,174,2015,10,27,22,19,12,13,59,8,6,1,6,0,191,183,0,0,0,135,0,10,0,46,0,0,0,0,120,0,17,0,46,0,0,0,0,0,0,0,0,0,0,16,82,93,0,0,0,0,0,0,0,0,0,21,81,81
53,1,Aguascalientes,150,Cirrosis hepática alcohólica,K70.3,95,0,0,0,0,0,0,26,13,23,7,11,0,70,3,14,8,0,0,0,0,0,15,11,13,8,9,10,6,7,0,4,4,8,2015,0,0,0,0,0,0,6,3,3,0,3,0,80,15,62,3,8,7,0,0,0,0,0,8,0,6,1,0,0,0,0,0,10,9,12,8,8,8,6,6,0,4,2,7,5,2,1,0,1,2,0,1,0,0,2,1
54,1,Aguascalientes,151,Hiperplasia de la próstata},N40,688,0,0,0,0,0,0,15,92,116,132,333,0,196,214,29,249,0,0,0,0,0,35,23,47,43,30,56,36,44,102,79,99,94,2015,0,0,0,0,0,0,0,0,0,0,0,0,688,0,196,214,29,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,23,47,43,30,56,36,44,102,79,99,94,0,0,0,0,0,0,0,0,0,0,0,0
55,1,Aguascalientes,152,Hipotermia,T68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,Aguascalientes,153,Intoxicación por monoxido de carbono,T58,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
